,0,1
389,The Temptations,Just My Imagination (Running Away With Me)
390,Four Tops,Baby I Need Your Lovin'
391,Freda Payne,Band of Gold
392,Five Stairsteps,O-O-H Child
393,The Lovin' Spoonful,Summer in the City
394,Elvis Presley,Can't Help Falling in Love
395,The Shangri-Las,Remember (Walking in the Sand)
396,Big Star,Thirteen
397,Blue Oyster Cult,(Don't Fear) the Reaper
398,Lynyrd Skynyrd,Sweet Home Alabama
399,Metallica,Enter Sandman
400,Paul Revere & The Raiders,Kicks
401,The Shirelles,Tonight's the Night
402,Sly & The Family Stone,Thank You (Falettinme Be Mice Elf Agin)
403,Eddie Cochran,C'Mon Everybody
404,Bob Dylan,Visions of Johanna
405,Carpenters,We've Only Just Begun
406,R. Kelly,I Believe I Can Fly
407,Nirvana,In Bloom
408,Aerosmith,Sweet Emotion
409,Cream,Crossroads
410,Pixies,Monkey Gone to Heaven
411,Donna Summer,I Feel Love
412,Bobbie Gentry,Ode to Billie Joe
413,Little Richard,The Girl Can't Help It
414,The Coasters,Young Blood
415,Four Tops,I Can't Help Myself
416,Don Henley,Boys of Summer
417,N.W.A.,Fuck Tha Police
418,"Crosby, Stills & Nash",Suite: Judy Blue Eyes
419,Dr. Dre,Nuthin' but a 'G' Thang
420,The Isley Brothers,It's Your Thing
421,Billy Joel,Piano Man
422,The Kinks,Lola
423,Elvis Presley,Blue Suede Shoes
424,The Rolling Stones,Tumbling Dice
425,The Smiths,"William, It Was Really Nothing"
426,Deep Purple,Smoke on the Water
427,U2,New Year's Day
428,Mitch Ryder & The Detroit Wheels,Devil With a Blue Dress on - Good Golly Miss Molly
429,Solomon Burke,Everybody Needs Somebody to Love
430,The Clash,(White Man) in Hammersmith Palais
431,Fats Domino,Ain't That a Shame
432,Gladys Knight and The Pips,Midnight Train to Georgia
433,Led Zeppelin,Ramble On
434,Wilson Pickett,Mustang Sally
435,The Rolling Stones,Beast of Burden
436,Love,Alone Again Or
437,Elvis Presley,Love Me Tender
438,The Stooges,I Wanna Be Your Dog
439,John Mellencamp,Pink Houses
440,Salt 'N' Pepa,Push It
441,The Dell-Vikings,Come Go With Me
442,Little Richard,Keep a Knockin'
443,Bob Marley & The Wailers,I Shot the Sheriff
444,Sonny & Cher,I Got U Babe
445,Nirvana,Come as You Are
446,Toots & The Maytals,Pressure Drop
447,The Shangri-Las,Leader of the Pack
448,The Velvet Underground,Heroin
449,The Beatles,Penny Lane
450,Glen Campbell,By the Time I Get to Phoenix
451,Chubby Checker,The Twist
452,Sam Cooke,Cupid
453,Guns N' Roses,Paradise City
454,George Harrison,My Sweet Lord
455,Nirvana,All Apologies
456,Lloyd Price,Stagger Lee
457,Ramones,Sheena Is a Punk Rocker
458,Sam & Dave,Soul Man
459,Muddy Waters,Rollin' Stone
460,The Chiffons,One Fine Day
461,Prince,Kiss
462,The Staple Singers,Respect Yourself
463,The Beatles,Rain
464,Four Tops,Standing in the Shadows of Love
465,Cheap Trick,Surrender
466,Del Shannon,Runaway
467,Guns N' Roses,Welcome to the Jungle
468,The Stooges,Search And Destroy
469,Carole King,It's Too Late
470,Joni Mitchell,Free Man in Paris
471,Willie Nelson,On the Road Again
472,The Supremes,Where Did Our Love Go
473,Aretha Franklin,Do Right Woman - Do Right Man
474,Funkadelic,One Nation Under a Groove
475,Beastie Boys,Sabotage
476,Foreigner,I Want to Know What Love Is
477,Rick James,Super Freak
478,Jefferson Airplane,White Rabbit
479,LaBelle,Lady Marmalade
480,Van Morrison,Into the Mystic
481,David Bowie,Young Americans
482,Alice Cooper,I'm Eighteen
483,The Cure,Just Like Heaven
484,Joan Jett & The Blackhearts,I Love Rock 'N Roll
485,Paul Simon,Graceland
486,The Smiths,How Soon Is Now?
487,The Drifters,Under the Boardwalk
488,Fleetwood Mac,Rhiannon
489,Gloria Gaynor,I Will Survive
490,The Rolling Stones,Brown Sugar
491,Dusty Springfield,You Don't Have to Say You Love Me
492,Jackson Browne,Running on Empty
493,The Crystals,Then He Kissed Me
494,The Eagles,Desperado
495,Smokey Robinson and The Miracles,Shop Around
496,The Rolling Stones,Miss You
497,Weezer,Buddy Holly
498,Brook Benton,Rainy Night in Georgia
499,Thin Lizzy,The Boys Are Back in Town
500,Boston,More Than a Feeling
